Name,Date,Value
Nasdaq100,2019-05-08,7617.55
Nasdaq100,2019-05-09,7582.75
Nasdaq100,2019-05-10,7586.53
Nasdaq100,2019-05-13,7324.13
Nasdaq100,2019-05-14,7401.88
Nasdaq100,2019-05-15,7503.25
Nasdaq100,2019-05-16,7580.14
Nasdaq100,2019-05-17,7503.68
Nasdaq100,2019-05-20,7376.7
Nasdaq100,2019-05-21,7451.02
Nasdaq100,2019-05-22,7420.66
Nasdaq100,2019-05-23,7307.93
Nasdaq100,2019-05-24,7300.96
Nasdaq100,2019-05-28,7278.38
Nasdaq100,2019-05-29,7216.86
Nasdaq100,2019-05-30,7245.4
Nasdaq100,2019-05-31,7127.96
Nasdaq100,2019-06-03,6978.02
Nasdaq100,2019-06-04,7166.75
Nasdaq100,2019-06-05,7220.9
Nasdaq100,2019-06-06,7275.93
Nasdaq100,2019-06-07,7417.29
Nasdaq100,2019-06-10,7501.93
Nasdaq100,2019-06-11,7513.85
Nasdaq100,2019-06-12,7472.29
Nasdaq100,2019-06-13,7510.68
Nasdaq100,2019-06-14,7479.11
Nasdaq100,2019-06-17,7526.52
Nasdaq100,2019-06-18,7635.4
Nasdaq100,2019-06-19,7667.74
Nasdaq100,2019-06-20,7738.05
Nasdaq100,2019-06-21,7728.78
Nasdaq100,2019-06-24,7723.02
Nasdaq100,2019-06-25,7591.54
Nasdaq100,2019-06-26,7627.05
Nasdaq100,2019-06-27,7657.05
Nasdaq100,2019-06-28,7671.08
Nasdaq100,2019-07-01,7768.14
Nasdaq100,2019-07-02,7799.82
Nasdaq100,2019-07-03,7857.69
Nasdaq100,2019-07-05,7841.3
Nasdaq100,2019-07-08,7785.79
Nasdaq100,2019-07-09,7826.86
Nasdaq100,2019-07-10,7903.4
Nasdaq100,2019-07-11,7896.78
Nasdaq100,2019-07-12,7943.24
Nasdaq100,2019-07-15,7966.93
Nasdaq100,2019-07-16,7927.08
Nasdaq100,2019-07-17,7888.76
Nasdaq100,2019-07-18,7904.13
Nasdaq100,2019-07-19,7834.9
Nasdaq100,2019-07-22,7905.12
Nasdaq100,2019-07-23,7954.56
Nasdaq100,2019-07-24,8010.61
Nasdaq100,2019-07-25,7929.87
Nasdaq100,2019-07-26,8016.95
Nasdaq100,2019-07-29,7989.08
Nasdaq100,2019-07-30,7952.47
Nasdaq100,2019-07-31,7848.78
Nasdaq100,2019-08-01,7801.15
Nasdaq100,2019-08-02,7692.8
Nasdaq100,2019-08-05,7415.69
Nasdaq100,2019-08-06,7521.32
Nasdaq100,2019-08-07,7551.9
Nasdaq100,2019-08-08,7724.83
Nasdaq100,2019-08-09,7646.27
Nasdaq100,2019-08-12,7561.68
Nasdaq100,2019-08-13,7728.15
Nasdaq100,2019-08-14,7490.13
Nasdaq100,2019-08-15,7484.89
Nasdaq100,2019-08-16,7604.11
Nasdaq100,2019-08-19,7719.32
Nasdaq100,2019-08-20,7664.47
Nasdaq100,2019-08-21,7733.22
Nasdaq100,2019-08-22,7707.43
Nasdaq100,2019-08-23,7464.99
Nasdaq100,2019-08-26,7575.02
Nasdaq100,2019-08-27,7566.03
Nasdaq100,2019-08-28,7587.9
Nasdaq100,2019-08-29,7702.31
Nasdaq100,2019-08-30,7691.0
Nasdaq100,2019-09-03,7609.51
Nasdaq100,2019-09-04,7719.25
Nasdaq100,2019-09-05,7862.54
Nasdaq100,2019-09-06,7852.54
Nasdaq100,2019-09-09,7832.4
Nasdaq100,2019-09-10,7814.74
Nasdaq100,2019-09-11,7887.58
Nasdaq100,2019-09-12,7917.34
Nasdaq100,2019-09-13,7892.95
Nasdaq100,2019-09-16,7852.41
Nasdaq100,2019-09-17,7888.79
Nasdaq100,2019-09-18,7888.56
Nasdaq100,2019-09-19,7901.79
Nasdaq100,2019-09-20,7823.55
Nasdaq100,2019-09-23,7818.61
Nasdaq100,2019-09-24,7710.04
Nasdaq100,2019-09-25,7803.54
Nasdaq100,2019-09-26,7771.99
Nasdaq100,2019-09-27,7681.58
Nasdaq100,2019-09-30,7749.45
Nasdaq100,2019-10-01,7684.14
Nasdaq100,2019-10-02,7550.79
Nasdaq100,2019-10-03,7638.39
Nasdaq100,2019-10-04,7754.1
Nasdaq100,2019-10-07,7725.13
Nasdaq100,2019-10-08,7604.27
Nasdaq100,2019-10-09,7690.53
Nasdaq100,2019-10-10,7740.36
Nasdaq100,2019-10-11,7843.88
Nasdaq100,2019-10-14,7842.33
Nasdaq100,2019-10-15,7942.85
Nasdaq100,2019-10-16,7920.21
Nasdaq100,2019-10-17,7942.14
Nasdaq100,2019-10-18,7868.49
Nasdaq100,2019-10-21,7940.33
Nasdaq100,2019-10-22,7874.62
Nasdaq100,2019-10-23,7889.47
Nasdaq100,2019-10-24,7966.72
Nasdaq100,2019-10-25,8029.22
Nasdaq100,2019-10-28,8110.67
Nasdaq100,2019-10-29,8047.51
Nasdaq100,2019-10-30,8083.11
Nasdaq100,2019-10-31,8083.83
Nasdaq100,2019-11-01,8161.17
Nasdaq100,2019-11-04,8210.66
Nasdaq100,2019-11-05,8210.18
Nasdaq100,2019-11-06,8196.03
Nasdaq100,2019-11-07,8219.65
